Brand, Name, Price-was, Current-Price, Discount(₹), Discount(%), Rating(Out of 5), Number-of-ratings, RAM(GB), Storage(GB/TB), Refurbished(0/1), URL
ASUS,ASUS VivoBooK Intel Celeron N4000 15.6-inch Laptop (4GB/500GB HDD/Windows 10/Chocolate Black/2 Kg)  X540MA-GQ024T,25990,19990,6000,23,3.3,173,4,500,0,https://www.amazon.in/VivoBooK-Celeron-15-6-inch-Chocolate-X540MA-GQ024T/dp/B07HBK27N1
iBall,iBall Marvel 6 V 2.0 2017 14-inch Laptop (Intel Celeron Processor N3350/3GB/32GB/Windows 10 Home/Integrated Graphics)  Metallic Grey,15999,9600,6399,40,3.2,38,3,32,0,https://www.amazon.in/iBall-Marvel-2-0-Processor-Integrated/dp/B07NHQMRLH
iBall,iBall Excelance OHD IPS Screen with 11.6-inch FHD Display Laptop (8th Gen Intel Atom X5-Z8350/2GB DDR3/32GB/Windows 10/Integrated Graphics) Chocolate Brown,12999,9990,3009,23,3.5,92,2,32,0,https://www.amazon.in/iBall-Excelance-OHD-11-6-inch-Integrated/dp/B07C26VTMK
Acer,Acer Aspire A315-53 15.6-inch Laptop (Intel Celeron Processor 3867U/4GB/500GB/Windows 10 Home/Integrated Graphics)  Obsidian Black,24999,17990,7009,28,3.5,97,4,500,0,https://www.amazon.in/Acer-A315-53-15-6-inch-Processor-Integrated/dp/B07RP2K7CS
iBall,iBall i360 FHD 2018 11.6-inch Laptop (Intel Atom Processor x5-Z8350/2GB/32GB/Windows 10 Home/Integrated Graphics)  Star Grey,15499,10490,5009,32,3.5,28,2,32,0,https://www.amazon.in/iBall-CompBook-Drive-Windows-Display/dp/B07FJYQTBY
iBall,iBall Netizen 2019 14-inch Laptop with 4G SIM Slot (Intel Celeron Processor N3350/4GB/64GB/Windows 10 Home/Integrated Graphics)  Metallic Grey,24999,14990,10009,40,3.7,13,4,64,0,https://www.amazon.in/iBall-Netizen-Processor-Integrated-Graphics/dp/B07NHR8WXQ
Acer,Acer Aspire 3 A315-53 15.6-inch Laptop (Intel Celeron Processor 3867U/4GB/500GB HDD/Windows 10 Home 64 bit/Intel HD 610 Graphics)  Obsidian Black,24999,17990,7009,28,3.5,2,4,500,0,https://www.amazon.in/Acer-A315-53-15-6-inch-Processor-Graphics/dp/B07T776B41
Asus,Asus E203 E203MAH-FD005T 11.6-inch Laptop (Celeron N4000/4GB/500GB/Windows 10/Integrated Graphics)  Star Grey,24990,19980,5010,20,3.7,57,4,500,0,https://www.amazon.in/Asus-E203MAH-FD005T-11-6-inch-Integrated-Graphics/dp/B07JBVW8HN
iBall,iBall Premio V 3 2018 14-inch Laptop (Intel Pentium Processor N4200/4GB/32GB/Windows 10 Home/Integrated Graphics) Metallic Gun Mustard,19999,12990,7009,35,3.6,13,4,32,0,https://www.amazon.in/iBall-Premio-Intel-Pentium-Processor-Integrated-Graphics/dp/B07NHQPBYN
iBall,iBall Merit G9 11.6-Inch Laptop (Intel Celeron 2GB/32GB/Windows 10) Light Weight-Cobalt Blue,13999,9990,4009,29,3.2,42,2,32,0,https://www.amazon.in/Compbook-Celeron-11-6-Inch-Merit-G9/dp/B077QDCT3V
Lenovo,Lenovo Ideapad 330 7th Gen AMD E2-9000 14 inch FHD Laptop (4GB RAM/ 500 GB HDD/ Windows 10/ Midnight Blue / 2.1 Kg)  81D5003KIN,45490,18990,26500,58,4.5,2,4,500,0,https://www.amazon.in/Lenovo-Ideapad-E2-9000-Midnight-81D5003KIN/dp/B07SH74GX9
Lenovo,Lenovo Ideapad 330 AMD A6 Processor 15.6-inch Laptop (4GB/1TB HDD/DOS/Onyx Black/with DVD-RW/2.2kg)  81D6007JIN,27490,17990,9500,35,2.8,43,4,1,0,https://www.amazon.in/Lenovo-Ideapad-Processor-15-6-inch-81D6007JIN/dp/B07H2JB1M8
HP,HP Business Notebook 245 G6 AMD A6-9225/4GB DDR3/1TB/DOS,22825,19477,3348,15,3.8,282,4,1,0,https://www.amazon.in/HP-Business-Notebook-A6-9225-DDR3/dp/B07LF5NY25
Acer,Acer Aspire 3 UN.GNVSI.009 15.6-inch Laptop (AMD Dual-Core Processor A4-9125/4GB/1TB/Windows 10 Home/Integrated Graphics)  Obsidian Black,28990,19500,9490,33,3.4,114,4,1,0,https://www.amazon.in/Acer-GNVSI-009-15-6-inch-Dual-Core-Integrated/dp/B07MQYZ98N
Lenovo,Lenovo Ideapad 330 AMD A6 14-inch Laptop (4GB/500GB HDD/Windows 10 Home/Platinum Grey/ 2.2kg)  81D5003HIN,32890,19990,12900,39,3.1,33,4,500,0,https://www.amazon.in/Lenovo-Ideapad-14-inch-Platinum-81D5003HIN/dp/B07HB7SL3L
Acer,Acer Aspire A315-21 15.6-inch Laptop (AMD A-Series Dual-Core A6-9220/4GB/1TB/Windows 10 Home/Integrated Graphics)  Obsidian Black,34999,19990,15009,43,2.9,6,4,1,0,https://www.amazon.in/Acer-A315-21-15-6-inch-Dual-Core-Integrated/dp/B07RR49N98
Lenovo,Lenovo V145-81MT001BIH AMD A4 9125@2.3 Ghz / 4GB RAM / 1TB HDD/ 15.6" AntiGlare Screen/ with ODD / DOS,21990,17920,4070,19,5.0,1,4,1,0,https://www.amazon.in/Lenovo-V145-81MT001BIH-9125-AntiGlare-Screen/dp/B07SY8TJWM
Acer,Acer One 14 Z422 Laptop (AMD A6 -7310 CPU/4 GB RAM/1 TB HDD/14" Screen/Black),NaN,18887,0,0,3.4,3,4,1,0,https://www.amazon.in/Acer-14-Z422-Laptop-Screen/dp/B07R8MCP1N
