Brand,Name,Price-was,Current-Price,Discount(₹),Discount(%),Rating(Out of 5),Number-of-ratings,RAM(GB),Storage(GB/TB),Refurbished(0/1),URL
Apple,Apple MacBook Pro Core i7 8th Gen - (16 GB/256 GB SSD/Mac OS Mojave/4 GB Graphics) MR962HN/A,NaN,NaN,0,0,NaN,0,16,256,0,https://www.flipkart.com//apple-macbook-pro-core-i7-8th-gen-16-gb-256-gb-ssd-mac-os-mojave-4-graphics-mr962hn-a/p/itmf9egn9eyqhffm?pid=COMF9EGN3AYJHPQG&srno=b_11_241&otracker=browse&lid=LSTCOMF9EGN3AYJHPQGKLPJ1G&fm=organic&iid=799b5698-0e3e-4a82-8537-2e145e60fd6a.COMF9EGN3AYJHPQG.SEARCH
Asus,Asus VivoBook S15 Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) S510UN-BQ122T Laptop,NaN,NaN,0,0,NaN,0,8,1,0,https://www.flipkart.com//asus-vivobook-s15-core-i5-8th-gen-8-gb-1-tb-hdd-windows-10-home-2-gb-graphics-s510un-bq122t-laptop/p/itmf3s3fhvhasyvs?pid=COMEYS338NQ8YZHX&srno=b_11_242&otracker=browse&lid=LSTCOMEYS338NQ8YZHXTAKBZD&fm=organic&iid=da269860-40b9-461b-b5bd-cbe9d3a31b12.COMEYS338NQ8YZHX.SEARCH
Dell,Dell Inspiron Core i7 7th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics) 7567 Gaming ...,NaN,NaN,0,0,NaN,0,16,1,0,https://www.flipkart.com//dell-inspiron-core-i7-7th-gen-16-gb-1-tb-hdd-256-gb-ssd-windows-10-home-4-graphics-7567-gaming-laptop/p/itmf3s3fh67c7yrw?pid=COMESZYNFRT79VAH&srno=b_11_243&otracker=browse&lid=LSTCOMESZYNFRT79VAHUN9SMQ&fm=organic&iid=76e1ee26-2f1c-452b-9eb9-4d17ce31952a.COMESZYNFRT79VAH.SEARCH
Avita,Avita Liber Core i5 7th Gen - (8 GB/128 GB SSD/Windows 10 Home) NS14A1IN501P Thin and Light Laptop,NaN,NaN,0,0,NaN,0,8,128,0,https://www.flipkart.com//avita-liber-core-i5-7th-gen-8-gb-128-gb-ssd-windows-10-home-ns14a1in501p-thin-light-laptop/p/itmffukzbvtdcugm?pid=COMFFUKNQDPEGYJ2&srno=b_11_244&otracker=browse&lid=LSTCOMFFUKNQDPEGYJ2GORMHM&fm=organic&iid=en_u1H12KtOpclpRLxUIxatHnw1Vk65hR4kjoyjkdHBGlU11xIeRE3E5MfUvrGmMTzF83OnYUYl6MGBwaD7njOerA%3D%3D
AGB,AGB Orion Core i7 7th Gen - (16 GB/1 TB HDD/1 TB SSD/Windows 10/2 GB Graphics) RA-0301 Gaming Laptop,NaN,NaN,0,0,NaN,0,16,1,0,https://www.flipkart.com//agb-orion-core-i7-7th-gen-16-gb-1-tb-hdd-1-ssd-windows-10-2-gb-graphics-ra-0301-gaming-laptop/p/itmeyzsydyuz6hmg?pid=COMEYZSYSBXMDSCV&srno=b_11_245&otracker=browse&lid=LSTCOMEYZSYSBXMDSCVNILGMI&fm=organic&iid=cfab8080-290e-417f-bce3-a27404f4e41b.COMEYZSYSBXMDSCV.SEARCH
Dell,Dell Inspiron 13 7000 Core i7 8th Gen - (16 GB/512 GB SSD/Windows 10 Home) 7373 2 in 1 Laptop,NaN,NaN,0,0,NaN,0,16,512,0,https://www.flipkart.com//dell-inspiron-13-7000-core-i7-8th-gen-16-gb-512-gb-ssd-windows-10-home-7373-2-1-laptop/p/itmf3s3yqprzv2pz?pid=COMEZX3WKCVWSAFB&srno=b_11_246&otracker=browse&lid=LSTCOMEZX3WKCVWSAFBZFSXHO&fm=organic&iid=73f390dd-b5c8-4b35-ae3a-e12679c09d79.COMEZX3WKCVWSAFB.SEARCH
HP,HP 400 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Pro) ProBook x360 440 G1 2 in 1 Laptop,NaN,NaN,0,0,NaN,0,8,512,0,https://www.flipkart.com//hp-400-core-i5-8th-gen-8-gb-512-gb-ssd-windows-10-pro-probook-x360-440-g1-2-1-laptop/p/itm164672caf0011?pid=COMFH39HDTEHGFYS&srno=b_11_247&otracker=browse&lid=LSTCOMFH39HDTEHGFYS7SRTHT&fm=organic&iid=9127de31-e928-4607-bfb7-81e78f741a57.COMFH39HDTEHGFYS.SEARCH
Asus,Asus Vivobook Core i7 8th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) X510UN-EJ329T Laptop,NaN,NaN,0,0,NaN,0,8,1,0,https://www.flipkart.com//asus-vivobook-core-i7-8th-gen-8-gb-1-tb-hdd-windows-10-home-2-gb-graphics-x510un-ej329t-laptop/p/itmfcz3cgy5spsap?pid=COMFCY2J9N9M2PWD&srno=b_11_248&otracker=browse&lid=LSTCOMFCY2J9N9M2PWDGW1D2Z&fm=organic&iid=83cb079a-b9fe-4235-a01e-86d279cd085b.COMFCY2J9N9M2PWD.SEARCH
Lenovo,Lenovo Z51-70 Core i5 5th Gen - (4 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) Z5170 Laptop,NaN,NaN,0,0,NaN,0,4,1,0,https://www.flipkart.com//lenovo-z51-70-core-i5-5th-gen-4-gb-1-tb-hdd-windows-10-home-2-gb-graphics-z5170-laptop/p/itmf3s3fxamgdphu?pid=COMEBZVGNGXDTCGG&srno=b_11_249&otracker=browse&lid=LSTCOMEBZVGNGXDTCGGKAEGXD&fm=organic&iid=5ff9ce21-4742-48ce-a259-283aba2e2737.COMEBZVGNGXDTCGG.SEARCH
Lenovo,Lenovo Ideapad 130 Core i5 8th Gen - (4 GB/1 TB HDD/Windows 10 Home) 130-15IKB Laptop,55,890,36,990,NaN,33,4.8,6,4,1,0,https://www.flipkart.com//lenovo-ideapad-130-core-i5-8th-gen-4-gb-1-tb-hdd-windows-10-home-130-15ikb-laptop/p/itmfhkqzczfynqpt?pid=COMFHKQZZREHB97U&srno=b_11_250&otracker=browse&lid=LSTCOMFHKQZZREHB97UTEWDHW&fm=organic&iid=en_u1H12KtOpclpRLxUIxatHnw1Vk65hR4kjoyjkdHBGlW0cinO%2BlJL4TeyLGvEypJwYNAnzhLhxJ9OOofVCoSffQ%3D%3D
