Brand,Name,Price-was,Current-Price,Discount(%),RAM(GB),Storage(GB/TB),Refurbished(0/1),URL
HP,HP Envy 17t UHD Laptop (Intel i7-8550U Quad-Core  32GB RAM  2TB HDD + 16GB Intel Optane  17.3 4K UHD (3840 x 2160)  GeForce MX150 4GB  Win 10 Home) Two Year Warranty and Accidential Damage,162700,128561,21,2,16,0,https://www.newegg.com/global/in-en/p/1TS-000D-03568
DELL,Dell 15.6" UHD 4K Convertible 2-in-1 Touchscreen Home and Business Laptop (Intel 8th Gen i7-8550U Quad-Core  16GB RAM  1TB PCIe SSD  15.6" UHD 3840 x 2160 Touch  GeForce MX130  WiFi  Win 10 Pro),156919,124088,21,NaN,NaN,0,https://www.newegg.com/global/in-en/p/1TS-000A-03SK8
DELL,Dell Inspiron 15 High Performane Home and Business Laptop (Intel Pentium N5000 Processor  16GB RAM  512GB SSD  15.6 HD (1366 x 768) Widescreen LED  WiFi  Bluetooth  Win 10 Pro),67791,55554,18,NaN,NaN,0,https://www.newegg.com/global/in-en/p/1TS-000A-03PS2
HP,HP Spectre x360 13t Convertible 2-in-1 Laptop in Pale Rose Gold (Intel 8th Gen i7-8550U  16GB RAM  512GB PCIe SSD  13.3" FHD 1920x1080 Touchscreen  Win 10 Pro) Two Year Warranty and Accidential Damage,153661,121608,21,NaN,NaN,0,https://www.newegg.com/global/in-en/p/1TS-000D-03531
HP,HP ZBook Studio x360 G5 15.6inch Premium Convertible 2in1 Mobile Workstation Laptop (Intel Xeon E-2176M  16GB RAM  2TB PCIe SSD  15.6" FHD 1920x1080 Touch  NVIDIA Quadro P1000  ZBook Pen  Win10 Pro),325401,253716,22,NaN,NaN,0,https://www.newegg.com/global/in-en/p/1TS-000D-031W0
HP,HP Envy 17t UHD Laptop (Intel i7-8550U Quad-Core  16GB RAM  2TB Sata SSD  17.3 4K UHD (3840 x 2160)  GeForce MX150 4GB  Win 10 Home) Two Year Warranty and Accidential Damage,171739,135514,21,NaN,NaN,0,https://www.newegg.com/global/in-en/p/1TS-000D-03573
HP,HP ENVY x360 15t Convertible 2-in-1 Laptop (Intel i7-8550U Quad-Core  32GB RAM  2TB Sata SSD  15.6" 4K UHD (3840x2160) Touchscreen  Win 10 Pro) Two Year Warranty and Accidential Damage,185298,145944,21,NaN,NaN,0,https://www.newegg.com/global/in-en/p/1TS-000D-035N4
Lenovo,Lenovo NB 20L50054CA 14 ThinkPad T480 Ci5-8350U 4G 500G W10P French OS&KB,NaN,95494,0,NaN,NaN,0,https://www.newegg.com/global/in-en/p/1B4-001H-00CB4
HP,HP Spectre x360 13t Convertible 2-in-1 Laptop in Pale Rose Gold (Intel 8th Gen i7-8550U  16GB RAM  2TB PCIe SSD  13.3" FHD 1920x1080 Touchscreen  Win 10 Pro) Two Year Warranty and Accidential Damage,189817,149421,21,NaN,NaN,0,https://www.newegg.com/global/in-en/p/1TS-000D-03533
HP,HP ENVY x360 15t Convertible 2-in-1 Laptop (Intel i7-8550U Quad-Core  16GB RAM  1TB HDD + 512GB PCIe SSD  15.6" 4K UHD (3840x2160) Touchscreen  Win 10 Pro) Two Year Warranty and Accidential Damage,153661,121608,21,6,512,0,https://www.newegg.com/global/in-en/p/1TS-000D-035R4
HP,HP Envy X360 15t Convertible 2-in-1 Premium Home and Business Laptop (Intel 8th Gen i7-8550U  16GB RAM  1TB HDD + 512GB Sata SSD  15.6" 4K UHD (3840x2160) Touch  HP Pen  Bluetooth  Win 10 Pro),140103,111179,21,6,512,0,https://www.newegg.com/global/in-en/p/1TS-000D-033H5
DELL,Dell Inspiron 15 High Performane Home and Business Laptop (Intel Pentium N5000 Processor  8GB RAM  1TB HDD  15.6 HD (1366 x 768) Widescreen LED  WiFi  Bluetooth  Win 10 Pro),51451,39562,23,NaN,NaN,0,https://www.newegg.com/global/in-en/p/1TS-000A-03PP9
